Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite,Unite
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,D10,D10 Incinération à terre,59,,02 02 99,Déchets non spécifiés ailleurs.,2780,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",76,,02 02 03,Matières impropres à la consommation ou à la transformation,302,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,76,,02 02 04,Boues provenant du traitement in situ des effluents,4958,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),76,,02 03 04,Matières impropres à la consommation ou à la transformation,658,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,76,,15 01 01,Emballages en papier/carton,522,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,76,,20 01 38,Bois autres que ceux visés à la rubrique 20 01 37,7500,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2012,"R9 ",R9 Régénération ou autres réemplois des huiles,59,,20 01 25,Huiles et matières grasses alimentaires,60.4,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2012,D10,D10 Incinération à terre,79,,02 02 03,Matières impropres à la consommation ou à la transformation,28800,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2012,D10,D10 Incinération à terre,44,,18 01 02,"Déchets anatomiques et organes, y compris sacs de sang et réserves de sang (sauf rubrique 18 01 03)",1.250,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2012,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,49,,15 01 02,Emballages en matières plastiques,1026,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2012,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,49,,02 02 04,Boues provenant du traitement in situ des effluents,18900,t/an
75624001,CONSERVERIE DE BERGERAC,Production de dÃ©chets non dangereux,2012,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",24,,02 03 04,Matières impropres à la consommation ou à la transformation,722,t/an
75624001,CONSERVERIE DE BERGERAC,Production de dÃ©chets non dangereux,2012,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,24,,19 09 01,Déchets solides de première filtration et de dégrillage,324,t/an
75624001,CONSERVERIE DE BERGERAC,Production de dÃ©chets non dangereux,2012,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,16,,15 01 03,Emballages en bois,33.0,t/an
