Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite_admise,Quantite_traitee,Unite
052.01183,PENA ENVIRONNEMENT,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,02 03 01,"Boues provenant du lavage, du nettoyage, de l'épluchage, de la centrifugation et de la séparation",276.000,276.000,t/an
067.00766,LINGENHELD ENVIRONNEMENT,Traitement de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",,,19 01 12,Mâchefers autres que ceux visés à la rubrique 19 01 11,66600.000,66600.000,t/an
055.03729,SUEZ RV Ouest - Ecopôle de Gueltas,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,12,Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :,48800.000,48800.000,t/an
061.03190,Trédi,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,05 07 99,Déchets non spécifiés ailleurs.,10.040,10.040,t/an
070.01271,ARF,Traitement de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,,,15 01 04,Emballages métalliques,340.000,340.000,t/an
068.04652,SUEZ ORGANIQUE - FERTI LOMAGNE,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,02 05 02,Boues provenant du traitement in situ des effluents,1832.000,1832.000,t/an
064.01000,ORTEC INDUSTRIE / VALORTEC,Traitement de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,19 09 04,Charbon actif usé,6.840,6.840,t/an
072.01985,SUEZ RR IWS Chemicals France,Traitement de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",,,02 03 99,Déchets non spécifiés ailleurs.,55.800,55.800,t/an
055.00708,Usine d'incinération de Concarneau,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,9,Déchets banals des entreprises,3012.000,3012.000,t/an
070.00951,SOTRENOR,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,15 02 03,"Absorbants, matériaux filtrants, chiffons d'essuyage et vêtements de protection autres que ceux visés à la rubrique 15 02 02.",0.000,76.200,t/an
063.03809,SECHE ECO INDUSTRIES site : la Cousinière,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,20 01 38,Bois autres que ceux visés à la rubrique 20 01 37,17.040,17.040,t/an
064.04706,Centre de traitement des déchets du Vallon du Fou,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,19 08 05,Boues provenant du traitement des eaux usées urbaines,9860.000,9860.000,t/an
070.01630,Usine de Sous Le Bois,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,20 01 99,Autres fractions non spécifiées ailleurs.,748.000,748.000,t/an
061.03196,ISDND de Satolas,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,10,Dechets provenant de procedes thermiques :,94000.000,94000.000,t/an
070.00571,SUEZ RV Lourches,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,19 12 03,Métaux non ferreux,18.760,18.760,t/an
070.00461,Insatallation de Stockage de déchets de Lewarde,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,10 09 08,Noyaux et moules de fonderie ayant subi la coulée autres que ceux visés à la rubrique 10 09 07,4400.000,4400.000,t/an
052.00361,SIAP,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,19 09 04,Charbon actif usé,170.800,170.800,t/an
067.02408,C.S.D.N.D. de Châtenois,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,9,Déchets banals des entreprises,267.200,267.200,t/an
