Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
052.01004,PENA METAUX SAS,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.07,kg/an
052.06330,CET de Zaluaga,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.002,kg/an
055.15907,Smictom Centre Ouest Ille et Vilaine,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.032,kg/an
056.00060,COVED SA - ISDND de Maillet,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.001,kg/an
057.02694,CSDU BAR SUR SEINE,2011,Eau (indirect),Benzène,0.004,kg/an
057.02694,CSDU BAR SUR SEINE,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.019,kg/an
057.02694,CSDU BAR SUR SEINE,2011,Eau (indirect),Trichloréthylène,0.002,kg/an
057.02694,CSDU BAR SUR SEINE,2011,Eau (indirect),"Tétrachloroéthylène (PER, tétrachloroéthylène)",0.002,kg/an
061.02889,Centre de Stockage de déchets ultimes,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.004,kg/an
063.02311,GEVAL - CSD de Basses Barbontes,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.01,kg/an
063.02562,GRANDJOUAN,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.0015,kg/an
064.01813,ELECTROLYSE PHOCEENNE SAS,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.0005,kg/an
064.09471,Ateliers LOUIS GALLI,2011,Eau (indirect),Toluène,0.4,kg/an
065.03303,BARRY CALLEBAUT MANUFACTURING FRANCE,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.146,kg/an
068.04811,trigone SMDTOMA du GERS site de GONDRIN,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.003,kg/an
070.00676,TITAGARH WAGONS AFR,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.05,kg/an
070.00737,TEINTURERIE DELALYS SN,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.03,kg/an
070.01579,VALNOR,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.03,kg/an
072.02584,ISDI du Vallon d'ARTY,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.005,kg/an
072.02584,ISDI du Vallon d'ARTY,2011,Eau (indirect),"Dichlorométhane (DCM, chlorure de méthylène)",0.001,kg/an
072.03699,SVDM DE LA CHARENTE - CET DE POULLIGNAC,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.01,kg/an
074.04582,BODYCOTE,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.02,kg/an
163.00241,AUBERT ET DUVAL - Décharge des Ancizes,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.01,kg/an
164.00365,SICTOM de la région Montluçonnaise,2011,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.01,kg/an
165.00125,Communauté de communes du Pays de Saugues,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.00135,kg/an
181.00011,DECHARGE DE ROUSSON,2011,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.000040,kg/an
053.01462,DUPONT D'ISIGNY,2011,Eau (indirect),Chloroforme (trichlorométhane),0.315,kg/an
053.01462,DUPONT D'ISIGNY,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.001,kg/an
057.01785,Lecico France,2011,Eau (direct),Benzo (a) pyrène,0.01,kg/an
057.01785,Lecico France,2011,Eau (direct),Benzo (k) fluoranthène,0.01,kg/an
057.01785,Lecico France,2011,Eau (direct),Benzo (b) fluoranthène,0.01,kg/an
061.02436,KERNEOS Usine de LE TEIL,2011,Air,Vanadium et ses composés,0.32,kg/an
061.02436,KERNEOS Usine de LE TEIL,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.32,kg/an
061.03134,VICAT Usine de La Pérelle,2011,Air,Vanadium et ses composés,0.579,kg/an
061.03134,VICAT Usine de La Pérelle,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.081,kg/an
061.04915,FIP industries,2011,Air,Vanadium et ses composés,0.00184,kg/an
062.06156,Ancien Centre d'Enfouissement de Bitche,2011,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.003,kg/an
064.00641,NCDSM,2011,Eau (indirect),Chloroforme (trichlorométhane),0.001,kg/an
064.01013,SOLAMAT-MEREX ROGNAC,2011,Air,Vanadium et ses composés,0.245,kg/an
064.01013,SOLAMAT-MEREX ROGNAC,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.22,kg/an
064.02671,SIHPA,2011,Eau (indirect),Chloroforme (trichlorométhane),0.062,kg/an
064.02671,SIHPA,2011,Eau (indirect),Diphényléthers bromés (PBDE),0.002,kg/an
064.02671,SIHPA,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.06,kg/an
064.02671,SIHPA,2011,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.002,kg/an
064.04437,AP-HM,2011,Eau (indirect),Chloroforme (trichlorométhane),0.075,kg/an
064.04437,AP-HM,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.089,kg/an
064.04437,AP-HM,2011,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.01,kg/an
064.04437,AP-HM,2011,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.015,kg/an
065.00641,GEREP,2011,Air,Vanadium et ses composés,0.078,kg/an
065.00641,GEREP,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.199,kg/an
065.01204,KERBIRIO,2011,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.3,kg/an
065.02833,GESTAMP NOURY,2011,Eau (indirect),Chloroforme (trichlorométhane),0.025,kg/an
065.02833,GESTAMP NOURY,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.004,kg/an
065.02833,GESTAMP NOURY,2011,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.003,kg/an
065.02833,GESTAMP NOURY,2011,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.003,kg/an
065.03834,LORY FONDERIES,2011,Air,Vanadium et ses composés,0.199,kg/an
065.03834,LORY FONDERIES,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0296,kg/an
065.05421,DASSAULT AVIATION,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.001,kg/an
065.05935,CEFIVAL,2011,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0001,kg/an
065.05946,MAJ ELIS Persan,2011,Eau (indirect),Diphényléthers bromés (PBDE),0.023,kg/an
